,full_name,has_issues,has_projects,has_downloads,has_wiki,has_pages,open_issues_count,size,language
0,ChameleonOS/android_packages_apps_CSPanel,True,True,True,True,False,0,172,Java
1,brl/ftpscan,True,True,True,True,False,0,91,C
2,prashp/sandbox,True,True,True,True,False,0,112,Java
3,amazingideas/Locals-Deals,True,True,True,True,False,0,48,
4,jezwe/testrep,True,True,True,True,False,0,112,
5,tchon/pykka,False,True,True,False,False,0,626,Python
6,autodialer/PECILAB,True,True,True,True,False,0,48,
7,duckster/klein.php,False,True,True,True,False,0,1384,PHP
8,itanger/example_geohash_to_location,False,True,True,True,False,0,68,JavaScript
9,merill00/School-Management,False,True,True,True,False,0,20345,JavaScript
10,Tryneus/Catch,False,True,True,True,False,0,3563,C++
11,aranguren/polygonzo,False,True,True,True,False,0,3495,JavaScript
12,teckx5/FeatureServer,False,True,False,False,False,0,118,PHP
13,radarsh/expensive,True,True,True,True,False,0,188,Java
14,GunioRobot/compass-magick,False,True,True,False,False,0,818,Ruby
15,alonso523/Alonso-TP4,True,True,True,True,False,0,1624,Ruby
16,Bren2010/BlueElephant,False,True,True,True,False,0,403,PHP
17,Moto-tegra/aokp_platform_manifest,False,True,True,True,False,0,248,
18,SergSlon/fit-framework,False,True,True,True,False,0,209,PHP
19,ner0tic/ddLightboxPlugin,True,True,True,True,False,0,120,PHP
20,rory133/empresaA_bpel_serverWS,True,True,True,True,False,0,164,Java
21,helaveesa/Diplom,True,True,True,True,False,0,1916,
22,zunokan/Comp,True,True,True,True,False,0,60,
23,alu0100026009/prct12,True,True,True,True,False,0,160,Python
24,danielamitay/DAAutoScroll,True,True,True,False,False,2,107,Objective-C
25,thelastagency/smeagol,False,True,True,True,False,0,364,Ruby
26,eruraindil/svc,True,True,True,True,False,0,45372,PHP
27,chesterwhitwell/git-test,True,True,True,True,False,0,116,
28,andrekandore/ZKRevealingTableViewCell,False,True,True,True,False,0,342,Objective-C
29,siddhantkhanna/github,True,True,True,True,False,0,112,
30,spils87/aeon,False,True,True,True,False,0,485282,Python
31,progrium/tracker-widget,True,True,True,True,False,0,110,Python
32,kezhou/silent-phone-base,False,True,True,True,False,0,11004,C
33,conemale/MyAS3Project,True,True,True,True,False,0,72,
34,kaerus-component/hash,True,True,True,True,False,0,160,JavaScript
35,thejamespinto/rubyfactory,True,True,True,True,False,0,132,Ruby
36,materializing/d_slideshow,False,True,True,True,False,0,109,JavaScript
37,hubgit/bbc-recommenders-to-tomahawk,True,True,True,True,False,0,88,JavaScript
38,generateui/Catan,False,True,True,True,False,0,818,C++
39,dtgweb/ione_support,False,True,True,True,False,0,108,Ruby
40,mmynsted/pocketlink,True,True,True,True,False,0,168,Shell
41,akashnimare/package_control_channel,False,True,True,False,False,0,969,
42,lookthesea/dirbot,False,True,True,True,False,0,70,Python
43,daisy1754/phpdao-for-me,True,True,True,True,False,0,34,PHP
44,njakubowicz/TestRepo,True,True,True,True,False,0,56,
45,marciotrindade/remarkable,False,True,True,True,False,0,2025,Ruby
46,daseyb/subatomic_odyssey,True,True,True,True,False,0,34540,C#
47,iriscouch/CouchDB-XO_Auth,False,True,True,True,False,0,1129,Erlang
48,corystone/python-novaclient,False,True,True,False,False,0,1435,Python
49,lazyparser/poj,True,True,True,True,False,0,77,C
50,george-oakling/tinyrange-jquery-plugin,False,True,True,True,False,0,77,JavaScript
51,jhsimms/regula,False,True,True,True,False,0,1059,JavaScript
52,camilonova/django-sorting,False,True,True,True,False,0,152,Python
53,beherca/siggraph2012course,False,True,True,True,False,0,73032,JavaScript
54,2600hz-archive/opensips,True,True,True,True,False,0,124,Ruby
55,kunio/impress.js,False,True,True,False,False,0,90,JavaScript
56,csams/jboss-logging,False,True,True,True,False,0,202,Java
57,msyst3m/WordPress,False,True,True,False,False,0,52089,PHP
58,radianttap/RTGraphLayout,True,True,True,True,False,0,36,Objective-C
59,slojo404/crossfilter,False,True,True,True,False,0,1433,JavaScript
60,qizhihui628/Android_Study,True,True,True,True,False,0,56,
61,renderedtext/snippets,True,True,True,True,False,1,28,Ruby
62,popkid/wesseltoft,True,True,True,True,False,0,92,Python
63,lightyrs/Rapnet,False,True,True,True,False,0,7059,Objective-C
64,gmccreight/selenium-on-rails,True,True,True,True,False,0,433,JavaScript
65,plen/Cab_or_not,True,True,True,True,False,0,100,Ruby
66,allarsoo/Ut_Valimind_vol2,True,True,True,True,False,0,50836,Java
67,benelog/multiline,True,True,True,True,False,8,175,Java
68,dswoodruff88/UnitConverter_C-Edition,True,True,True,True,False,0,180,C#
69,rafabene/arquillian-showcase,False,True,True,True,False,0,4623,Java
70,princezahee/myrepo,True,True,True,True,False,0,112,C
71,shenxiaoxu/TheCodeShip,False,True,True,True,False,0,214,Python
72,kkssffaa/MT6589_kernel_source,False,True,True,True,False,0,234479,C
73,fuddy/faceless,True,True,True,True,False,0,48,
74,samuellab/megabackup,True,True,True,True,False,0,96,Python
75,machinaut/pcb-stuff,True,True,True,True,False,0,548,
76,dshapira/fastclick,False,True,True,False,False,0,138,JavaScript
77,boondaburrah/hwcfrog,True,True,True,True,False,0,84,Java
78,happyolpc/grails-crowd,False,True,True,True,False,0,1579,JavaScript
79,monsterdon/Scroller,True,True,True,True,False,0,48,
80,shankarathi07/linux_lg_jb,True,True,True,True,False,0,642827,C
81,AndrewIngram/dotfiles,True,True,True,True,False,0,48,
82,omniosi/vvCVR,True,True,True,True,False,0,32052,JavaScript
83,elagin/carduino2,True,True,True,True,False,0,108,Arduino
84,redneckrobot/sass-for-wordpress,False,True,True,True,False,0,73,PHP
85,marshally/homebrew-versions,False,True,True,False,False,0,156,Ruby
86,chuanwee/demo_app,True,True,True,True,False,0,116,Ruby
87,gooselinux/xinetd,True,True,True,True,False,0,132,
88,samno/MonoRom,True,True,True,True,False,0,48,
89,Relyk711/demo_app,True,True,True,True,False,0,132,Ruby
90,msartini/try_git,True,True,True,True,False,0,92,
91,gonex45/iPhoneSDK-RecipeBook,False,True,True,True,False,0,175,Objective-C
92,tsmithNeuone/calendar,True,True,True,True,False,0,380,JavaScript
93,fendykur/todo-fof-example,False,True,True,True,False,0,241,PHP
94,pld-linux/libgpepimc,False,True,False,False,False,0,120,
95,4f6f3b/wikilink,False,True,True,False,False,0,82,Java
96,DaGenius/Custom-Metaboxes-and-Fields-for-WordPress,False,True,True,True,False,0,193,PHP
97,sbouafif/HNewsTab,False,True,True,True,False,0,270,Objective-C
98,jacobvosmaer/gitlabhq,False,True,True,True,False,0,77582,Ruby
99,jrenouard/plans-resto-france,False,True,True,False,False,0,121,
