,full_name,has_issues,has_projects,has_downloads,has_wiki,has_pages,open_issues_count,size,language
0,vuejs/vue,True,True,True,True,False,399,27808,JavaScript
1,facebook/react,True,True,True,True,True,942,148730,JavaScript
2,tensorflow/tensorflow,True,True,True,False,False,3058,445055,C++
3,twbs/bootstrap,True,True,True,False,True,397,148202,JavaScript
4,robbyrussell/oh-my-zsh,True,True,True,True,False,785,5928,Shell
5,d3/d3,True,False,True,True,False,3,41488,JavaScript
6,microsoft/vscode,True,True,True,True,False,3903,246031,TypeScript
7,torvalds/linux,False,True,True,False,False,302,2691123,C
8,facebook/react-native,True,True,True,True,True,857,444889,JavaScript
9,electron/electron,True,True,True,False,False,1225,68089,C++
10,flutter/flutter,True,True,True,True,False,7511,80029,Dart
11,facebook/create-react-app,True,True,True,False,True,442,11663,JavaScript
12,axios/axios,True,True,True,False,False,713,3051,JavaScript
13,golang/go,True,False,True,True,False,5077,198618,Go
14,nodejs/node,True,True,True,False,False,1238,521813,JavaScript
15,daneden/animate.css,True,True,True,False,True,30,980,CSS
16,FortAwesome/Font-Awesome,True,True,True,True,True,5018,92578,JavaScript
17,kubernetes/kubernetes,True,True,True,False,False,3313,886467,Go
18,angular/angular.js,True,True,True,True,False,467,100479,JavaScript
19,tensorflow/models,True,True,True,True,False,1907,523911,Python
20,laravel/laravel,False,True,True,False,False,27,9880,PHP
21,moby/moby,True,True,True,True,False,3853,146135,Go
22,microsoft/TypeScript,True,True,True,True,False,4057,1189650,TypeScript
23,GoogleChrome/puppeteer,True,False,True,False,False,678,5735,JavaScript
24,angular/angular,True,True,True,False,False,3276,128276,TypeScript
25,ant-design/ant-design,True,True,True,True,True,439,46484,TypeScript
26,webpack/webpack,True,True,True,True,False,444,28650,JavaScript
27,nvbn/thefuck,True,True,True,True,False,202,2810,Python
28,hakimel/reveal.js,True,True,True,True,True,534,9662,JavaScript
29,socketio/socket.io,True,True,True,False,True,445,12300,JavaScript
30,Semantic-Org/Semantic-UI,True,True,True,True,False,960,112233,JavaScript
31,getlantern/lantern,False,False,True,True,False,0,2,
32,expressjs/express,True,False,True,True,False,183,8848,JavaScript
33,keras-team/keras,True,True,True,True,False,2686,13334,Python
34,shadowsocks/shadowsocks-windows,True,True,True,True,False,156,9996,C#
35,PanJiaChen/vue-element-admin,True,True,True,True,True,481,15095,Vue
36,typicode/json-server,True,True,True,False,False,491,1927,JavaScript
37,resume/resume.github.com,True,True,True,True,True,35,411,JavaScript
38,spring-projects/spring-boot,True,True,True,True,True,416,112191,Java
39,storybookjs/storybook,True,True,True,False,False,483,229695,TypeScript
